URL path,Task,Theme,Department,Responses,Task completion,Ease,Satisfaction,Margin of Error*,Data reliability
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/permit,Apply for a work permit,Immigration,IRCC,"16,051",81.60%,63.10%,60.70%,0.70%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-status,Check your application status,Immigration,IRCC,"8,299",77.40%,64.20%,57.20%,1.00%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/canadian-citizenship,Apply for Canadian citizenship,Immigration,IRCC,"4,095",77.90%,63.10%,62.30%,1.40%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada,Study in Canada – for non-Canadians,Immigration,IRCC,"2,839",75.90%,65.40%,65.50%,1.70%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry,Immigrate through Express Entry,Immigration,IRCC,"2,763",69.80%,61.70%,62.00%,1.80%,Low margin of error/Reliable data
https://ircc.canada.ca/english/visit/visas.asp,Check if you need a visa or electronic travel authorization (eTA) to travel to Canada,Immigration,IRCC,"2,584",78.30%,61.40%,62.70%,1.80%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc.html,"Contact Immigration, Refugees and Citizenship Canada",Immigration,IRCC,"2,017",59.40%,49.40%,54.20%,2.20%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/check-processing-times,Check processing times,Immigration,IRCC,"1,553",82.40%,69.20%,56.10%,2.20%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/provincial-nominees,Immigrate as a provincial nominee,Immigration,IRCC,"1,108",69.00%,61.70%,64.50%,2.80%,Low margin of error/Reliable data
"https://www.canada.ca/en/immigration-refugees-citizenship/services/application/register
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/account
","IRCC secure account - register, sign in, help",Immigration,IRCC,874,57.70%,46.90%,49.20%,3.30%,Low margin of error/Reliable data
,Other - Reason for my visit is not in this list,Immigration,IRCC,819,59.10%,52.50%,48.70%,3.40%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides,Find an IRCC application package or form,Immigration,IRCC,812,63.40%,48.00%,54.30%,3.40%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/family-sponsorship,Sponsor your family members to immigrate to Canada,Immigration,IRCC,810,62.70%,53.20%,49.60%,3.40%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-card,"Get, renew or replace a permanent resident card",Immigration,IRCC,759,54.70%,41.00%,39.40%,3.50%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/corporate/contact-ircc/offices,Find a visa application centre,Immigration,IRCC,697,72.90%,59.70%,61.50%,3.50%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/educational-institutions,Find a designated learning institution,Immigration,IRCC,396,78.80%,68.90%,69.90%,4.40%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/extend-stay.html,How to extend your stay in Canada,Immigration,IRCC,385,73.00%,54.80%,52.50%,4.80%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/about-visitor-visa,Apply for a visitor visa to Canada,Immigration,IRCC,357,70.90%,59.10%,56.60%,5.00%,Low margin of error/Reliable data
https://www.canada.ca/en/immigration-refugees-citizenship/services/application/pay-fees,Pay your fees online,Immigration,IRCC,322,64.60%,46.60%,46.30%,5.40%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/eligibility/find-national-occupation-code.html,Find your National Occupational Classification (NOC),Immigration,IRCC,277,85.90%,67.90%,69.00%,5.00%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec,Apply to work and travel abroad with International Experience Canada (IEC) as a Canadian,Immigration,IRCC,233,85.00%,68.20%,64.40%,5.60%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/hire-foreign-worker,Hire a foreign worker,Immigration,IRCC,185,74.60%,59.50%,64.30%,6.80%,Higher margin of error/Use data with caution
https://ircc.canada.ca/english/visit/biometrics.asp,Find out if you need to give your fingerprints and photo (biometrics) and where to do that,Immigration,IRCC,157,75.80%,58.60%,61.10%,7.30%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit,Apply for a study permit,Immigration,IRCC,155,76.10%,67.10%,67.70%,7.20%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada,Study in Canada – for non-Canadians,Immigration,GAC,109,67.00%,58.70%,54.10%,9.10%,Higher margin of error/Use data with caution
https://www.canada.ca/en/immigration-refugees-citizenship/corporate/partners-service-providers/authorized-paid-representatives-portal,Authorized Paid Representatives Portal,Immigration,IRCC,105,53.30%,41.00%,35.20%,9.40%,Higher margin of error/Use data with caution
,Visa and immigration services,Immigration,IRCC,81,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
,Other - Reason for my visit is not in this list,Immigration,GAC,53,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
,Citizenship services,Immigration,IRCC,41,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/eta,Apply for an Electronic Travel Authorization (eTA),Immigration,IRCC,32,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/after-graduation/about.html,Apply through the Post-graduation work permit program,Immigration,IRCC,17,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/self-employed,Immigrate as a self-employed person,Immigration,IRCC,17,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada/iec,Work and travel in Canada as a youth (International Experience Canada),Immigration,IRCC,14,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/work-canada,Work in Canada,Immigration,IRCC,5,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/pr-travel-document,Apply for a permanent resident travel document,Immigration,IRCC,4,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/start-visa,Apply for a start-up visa,Immigration,IRCC,4,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://travel.gc.ca/travelling/living-abroad/studying,Study outside Canada – for Canadians,Immigration,GAC,3,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/quebec-skilled-workers,Immigrate as a Quebec-selected skilled worker,Immigration,IRCC,3,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada.html,Immigrate to Canada,Immigration,IRCC,3,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
,Other - Reason for my visit is not in this list,Immigration,FCAC,1,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
,Other - Reason for my visit is not in this list,Immigration,ISC,1,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data
,Other - Reason for my visit is not in this list,Immigration,TBS,1,Insufficient data,Insufficient data,Insufficient data,Insufficient data,Insufficient data